4.524729686157529E-19	1.4026462787560108E-19	1.4088362149352844E-22	8.766539242225068E-19	2.789495705571896E-18	8.841254065312217E-18	2.796539886646574E-17	2.7395435131953248E-18	9.15743539707946E-17	1.0
4.405185969218096E-19	1.5542675597408577E-18	2.621844195994595E-19	2.649885725490759E-18	6.431337321179649E-18	1.5515778261097213E-17	3.7122834263545196E-17	2.490494102904799E-19	7.044181074676494E-18	0.7383003973844052
4.704045261566678E-19	1.633963371033813E-18	2.847257990384243E-19	2.7694294424301914E-18	6.642662753419944E-18	1.591425731756199E-17	3.747504331727902E-17	0.0	3.522090537338226E-18	0.7279701499127369
3.8074673845209326E-19	1.3849139607433283E-18	2.185104969364652E-19	2.390874338788655E-18	5.9664213702510006E-18	1.4768630030225758E-17	3.606620710234372E-17	4.980988205809598E-19	1.408836214935299E-17	0.7589608923277414
4.664197355920201E-19	8.666919478108872E-20	0.0	8.766539242225068E-19	2.7824515244972193E-18	8.841254065312217E-18	2.796539886646574E-17	2.7395435131953248E-18	9.15743539707946E-17	1.0
4.305566205101902E-19	1.5263740257883235E-18	2.5514023852478302E-19	2.6100378198442813E-18	6.360895510432884E-18	1.541615849698102E-17	3.6770625209811365E-17	2.490494102904799E-19	7.044181074676494E-18	0.7417438132082945
4.524729686157529E-19	1.5881382795403638E-18	2.7204627310400665E-19	2.6996956075488556E-18	6.501779131926415E-18	1.57150177893296E-17	3.7122834263545196E-17	2.490494102904799E-19	5.2831358060073816E-18	0.7314135657366264
8.72669133657859E-20	4.684121308743439E-19	4.226508644805853E-22	8.766539242225068E-19	2.7965398866465726E-18	8.891063947370314E-18	2.831760792019956E-17	2.7395435131953248E-18	9.15743539707946E-17	1.0
3.5484559978188284E-19	1.3111953352973447E-18	1.9878678992737097E-19	2.281292598260841E-18	5.748051756936028E-18	1.437015097376098E-17	3.571399804860989E-17	7.47148230871455E-19	1.7610452686691258E-17	0.7727345556232992
8.786463195048304E-20	4.704045261566678E-19	8.4530172896118115E-22	8.86615900634126E-19	2.803584067721249E-18	8.891063947370314E-18	2.831760792019956E-17	2.7395435131953248E-18	9.15743539707946E-17	0.9965565841761107
